,Train MAE,Train MSE,Val MAE,Val MSE
29,1.2320312785199798,2.0376183316016103,1.2932311450210214,2.184807167166583
30,1.225302336492999,2.0241546826302255,1.2932284400538694,2.184796869434077
31,1.2278485570232576,2.0222784581795885,1.2932426064523512,2.184844412587541
32,1.2298626143751659,2.0313146597039116,1.2932953273025156,2.1850263131031626
33,1.2295778806577171,2.0368273498768636,1.293207077749182,2.18471823812655
34,1.225972740888026,2.0211457262856922,1.293462835861309,2.185607892425759
35,1.223916168472613,2.016824300018132,1.2934883769934558,2.1856948485400625
36,1.2263097838277983,2.022653552730093,1.2933833861209858,2.185327588613744
37,1.2283385424146973,2.026933505486097,1.2935167444694855,2.185790471559033
38,1.2271740951377332,2.0318944934962504,1.2934157416896115,2.1854368157199597
39,1.2215600395175068,2.010993099781808,1.2935309108679673,2.185836278287087
40,1.2281000908115365,2.031066503347224,1.2936830305912006,2.186365565980336
41,1.2260686485892909,2.024756421056635,1.2937863828777996,2.1867244067495473
42,1.220082852684554,2.0068396982787498,1.2939603590824116,2.187330406271374
43,1.2275285139843732,2.0302162548540097,1.2938652430739999,2.1869959403391706
44,1.2250722560021867,2.025676198364597,1.2940108778118817,2.1875033497681087
45,1.2276398168985403,2.0276766319461745,1.294112868945138,2.187858275358755
46,1.2283444591326464,2.023340999077893,1.294250900297788,2.188338184026361
47,1.2320570379742928,2.038920145405364,1.294116909056333,2.187867966237117
48,1.223073050382465,2.019304519720728,1.2942310552022402,2.188265825231382
49,1.2270091138556471,2.0284541435830787,1.2942907638842138,2.188473527246455
50,1.229352534230127,2.035533078367438,1.2943878219203244,2.1888107540772235
51,1.2302625254507231,2.0347367502539266,1.2945105077862469,2.189238711151895
52,1.2275308653602681,2.0292931754896846,1.2943499090313642,2.188675687296317
53,1.2316074383076192,2.0402693976411372,1.294466161930534,2.18908049553933
54,1.2321807188478953,2.0383538168111643,1.2943904141805118,2.188813950128463
55,1.2286449015395369,2.031176549644931,1.2945441638198496,2.1893503816545485
56,1.2315357353462861,2.030765245092254,1.2944903159000385,2.1891606817624725
57,1.2325661870071423,2.035780179824345,1.2945657428686999,2.189422778538853
58,1.2266699842064763,2.020799218735494,1.2947960812254116,2.1902275996415335
59,1.2269890757583712,2.029842652176536,1.2947650608008288,2.1901177424597593
60,1.2320034688519546,2.0352202290293526,1.2949220269235426,2.1906665704566004
61,1.2286874382621429,2.0307868271635545,1.2950536599885063,2.1911261945040144
62,1.2309351589455293,2.0428101704170185,1.2950386526226727,2.1910721202438155
63,1.2297501050805841,2.0321047847690203,1.2952494840047306,2.1918093763826265
64,1.2282958368396315,2.0309203538894636,1.295228035002378,2.191732652746967
65,1.2270319493292443,2.0238589807112373,1.295273143797544,2.1918894000511995
66,1.2296981646133993,2.0358681269351617,1.295319249615859,2.1920493169116253
67,1.229946647081331,2.0273748755762924,1.2954793715335835,2.192609295365867
68,1.2277829241068858,2.0225141502139703,1.2952963961113313,2.191964555533622
69,1.2288499981738878,2.035831960819704,1.2954857698212698,2.1926276448088307
70,1.2299563041274477,2.0295522237173933,1.295633034475256,2.1931431113932787
71,1.2295269059186693,2.031809151762594,1.2955076869910143,2.192700793860692
72,1.2310470472535733,2.034602655287153,1.295957413789332,2.1942812582154905
73,1.225328936355354,2.027466736746133,1.2960178854107587,2.1944921592029143
74,1.2287748024805982,2.0272067832599356,1.2959351758382267,2.194198575681159
75,1.2274546785939497,2.0272951488516315,1.2959454061627118,2.194232053552002
76,1.2288763438316797,2.029854607428275,1.2961588731537894,2.1949812860269726
77,1.2333535326483922,2.044444787065819,1.2963338117024845,2.1955954121245447
78,1.22899967254573,2.0369859788492093,1.2960626387454977,2.194638933944324
79,1.231732642844707,2.038698219410774,1.2962406984101371,2.1952646179657616
80,1.2328675262178626,2.041293269311015,1.2964919482436776,2.196147534938079
81,1.2351166467901538,2.043280947703936,1.2964561074289138,2.1960191334730657
82,1.229977387980913,2.032573646924454,1.2965641934080288,2.1963990783100216
83,1.2294318269999525,2.0391565514767898,1.2966144433747366,2.1965744804321985
84,1.2319566294441304,2.03878636515465,1.2966626646160808,2.196743302688286
85,1.231735097024943,2.0385198839378087,1.2967196163123034,2.1969417868240515
86,1.229692558495801,2.0341867989062687,1.297093413295502,2.1982599890610057
87,1.2371548325397326,2.0483096936280303,1.2970692159771648,2.1981724154846782
88,1.2246170141035035,2.0220125201639965,1.2972034066232496,2.1986459098317286
89,1.229091986469697,2.0344554569559006,1.2970855151382088,2.198226066542062
90,1.2364834436336565,2.04652317974767,1.2973296817725084,2.1990885212042364
91,1.236327544130841,2.0444024562432808,1.2973248960613935,2.199069727408056
92,1.228494564193629,2.0341379007693026,1.2973717474796285,2.199233299328777
93,1.2299016428403668,2.0299839806880766,1.2973547287279639,2.199171421010613
94,1.2313694504176578,2.036537814890812,1.297709833694561,2.200426664532019
95,1.232414502482326,2.0428496272584344,1.2977598062287405,2.200602668712683
96,1.2354834439311326,2.0472268385150025,1.2978958001862602,2.2010818280214655
97,1.2319367116498066,2.048896881740784,1.2978971526698362,2.2010853138850712
98,1.2277524721485533,2.0321601079093004,1.2981053311033413,2.201821041089524
99,1.2349199954230865,2.049205479113104,1.2979525351383199,2.201277037614409
